City,SHP_Path,SRTM_Path,Year,BuildingHeightField,Unit
Airdrie,Airdrie_2018/Airdrie_2018_projected_4326.shp,No,2018,Height,m
Albuquerque,Albuquerque_2012/Albuquerque_2012_projected_4326.shp,SRTM_V4/Albuquerque_2012_strm.tif,2012,HEIGHT,m
Arlington,Arlington_2018/Arlington_2018_projected_4326.shp,SRTM_V4/Arlington_2018_strm.tif,2018,BLGHEIGHT,m
Aurora,Aurora_2014/Aurora_2014_projected_4326.shp,No,2014,Bldg_Heigh,m
Austin,Austin_2013/Austin_2013_projected_4326.shp,SRTM_V4/Austin_2013_strm.tif,2013,max_height,m
Beijing,Beijing_2020/Beijing_2020_projected_4326.shp,No,2020,Floor,FLOOR
Boston,Boston_2011/Boston_2011_projected_4326.shp,SRTM_V4/Boston_2011_strm.tif,2011,BUILDING_H,m
BoulderCO,BoulderCO_2016/BoulderCO_2016_projected_4326.shp,No,2016,BLDGHEIGHT,m
Bozeman,Bozeman_2019/Bozeman_2019_projected_4326.shp,No,2019,Height,m
Cambridge,Cambridge_2018/Cambridge_2018_projected_4326.shp,SRTM_V4/Cambridge_2018_strm.tif,2018,BASE_ELEV,m
Centennial,Centennial_2020/Centennial_2020_projected_4326.shp,No,2020,Bldg_Heigh,m
Chattanooga,Chattanooga_2017/Chattanooga_2017_projected_4326.shp,No,2017,BLDGHEIGHT,m
Chicago,Chicago_2015/Chicago_2015_projected_4326.shp,No,2018,stories,FLOOR
DesMoines,DesMoines_2020/DesMoines_2020_projected_4326.shp,No,2020,BuildingHe,feet
DodgeCounty,DodgeCounty_2017/DodgeCounty_2017_projected_4326.shp,No,2017,HeightAbov,m
EatonCounty,EatonCounty_2020/EatonCounty_2020_projected_4326.shp,No,2020,BLDGHEIGHT,m
FortCollins,FortCollins_2014/FortCollins_2014_projected_4326.shp,SRTM_V4/FortCollins_2014_strm.tif,2014,HEIGHT,m
Glasgow,Glasgow_2020/Glasgow_2020_projected_4326.shp,SRTM_V4/Glasgow_2020_strm.tif,2020,height,m
Henderson,Henderson_2017/Henderson_2017_projected_4326.shp,SRTM_V4/Henderson_2017_strm.tif,2017,Building_H,m
JeffersonCountyKY,JeffersonCountyKY_2016/JeffersonCountyKY_2016_projected_4326.shp,No,2016,MEAN_HEIGH,m
Kamloops,Kamloops_2019/Kamloops_2019_projected_4326.shp,No,2019,HEIGHT,m
Lincoln,Lincoln_2018/Lincoln_2018_projected_4326.shp,SRTM_V4/Lincoln_2018_strm.tif,2018,BLDG_AVG_H,m
London,London_2020/London_2020_projected_4326.shp,SRTM_V4/London_2020_strm.tif,2020,height,m
